Name,Position,Height,Weight,Seasons-Col,Games-Col,Yards-Col,Carries-Col,Avg-Carry-Col,Avg-Game-Col,TDs-Col,Rec-Col,RecYards-Col,RecTDs-Col,40 yd dash,Vertical,DC Pos,DraftPos,Yards-FY,Carries-FY,Avg-Carry-FY,Avg-Game-FY,TDs-FY,Rec-FY,RecYards-FY,RecTDs-FY,FPoints-FY,Rookie Similarity Factor
James White,RB,69,204,4,52,4015,643,6.2,77.2,45,73,670,3,4.57,32,3.5,130,38,9,4.2,12.7,0,5,23,0,6,
Alfred Blue,RB,74,223,4,41,1253,209,6,30.6,11,16,105,0,4.63,32,3.5,181,528,169,3.1,33,2,15,113,1,82,
Lache Seastrunk,RB,69,201,2,24,2189,289,7.6,91.2,18,9,107,1,4.51,41.5,3.5,186,0,0,0,0,0,0,0,0,0,
Marion Grice,RB,72,208,2,24,1675,294,5.7,69.8,25,91,863,14,4.67,32,3,201,41,15,2.7,4.1,1,7,29,0,10,
Tyler Gaffney,RB,71,220,4,49,2500,486,5.1,51,33,32,264,4,4.49,36.5,4,204,0,0,0,0,0,0,0,0,0,
Storm Johnson,RB,72,209,3,36,1765,335,5.3,49,19,41,289,3,4.6,35.5,2.5,222,86,29,3,14.3,2,1,-4,0,20,
Trent Richardson,RB,69,228,3,38,3130,540,5.8,82.4,35,68,730,7,4.48,35,1,1,950,267,3.6,63.3,11,51,367,1,204,
Doug Martin,RB,69,223,5,51,3531,617,5.7,69.2,43,67,715,4,4.46,36,1.5,31,1454,319,4.6,90.9,11,49,472,1,263,
David Wilson,RB,70,206,3,40,2662,462,5.8,66.6,18,37,363,5,4.38,41,2,32,358,71,5,22.4,4,4,34,1,67,
Isaiah Pead,RB,70,197,4,44,3288,545,6,74.7,27,87,721,6,4.39,33,2.5,50,54,10,5.4,3.6,0,3,16,0,5,
LaMichael James,RB,68,194,3,37,5082,771,6.6,137.4,53,51,586,4,4.35,35,3,61,125,27,4.6,31.3,0,3,29,0,15,
Ronnie Hillman,RB,69,200,2,26,3243,573,5.7,124.7,36,33,338,2,4.42,37,3,67,330,85,3.9,23.6,1,10,62,0,43,
Bernard Pierce,RB,72,218,3,34,3570,663,5.4,105,53,19,178,1,4.45,36.5,2,84,532,108,4.9,33.3,1,7,47,0,64,
Robert Turbin,RB,70,222,4,38,3315,565,5.9,87.2,40,67,845,11,4.42,36,3,106,354,80,4.4,22.1,0,19,181,0,54,
Chris Rainey,RB,68,180,5,53,2464,396,6.2,46.5,13,69,795,6,4.36,36.5,3.5,159,102,26,3.9,6.4,2,14,60,0,26,
Vick Ballard,RB,70,219,2,25,2157,379,5.7,86.3,29,30,293,2,4.59,33,3,170,814,211,3.9,50.9,2,17,152,1,115,
Alfred Morris,RB,70,219,4,47,3529,733,4.8,75.1,27,30,300,4,4.63,35.5,2.5,173,1613,335,4.8,100.8,13,11,77,0,241,
Cyrus Gray,RB,70,206,4,49,3298,632,5.2,67.3,30,103,776,6,4.4,32.5,4,182,44,7,6.3,4.4,0,2,18,0,6,
Dan Herron,RB,70,213,4,41,2869,592,4.8,70,32,44,309,1,4.57,35,4.5,191,5,4,1.3,1.7,0,0,0,0,1,
Terrance Ganaway,RB,71,239,4,51,2592,473,5.5,50.8,34,12,133,1,4.61,37.5,4,202,0,0,0,0,0,0,0,0,0,
Edwin Baker,RB,68,204,3,35,2293,462,5,65.5,19,15,125,1,4.44,35,5,250,0,0,0,0,0,0,0,0,0,
Ryan Williams,RB,69,212,2,23,2132,403,5.3,92.7,30,26,289,2,4.59,40,2.5,38,0,0,0,0,0,0,0,0,0,
Shane Vereen,RB,70,210,3,38,2834,556,5.1,74.6,29,74,674,6,4.49,34,2.5,56,57,15,3.8,11.4,1,0,0,0,12,
Mikel Leshoure,RB,72,227,3,33,2557,424,6,77.5,23,37,439,5,4.56,38,3.5,57,0,0,0,0,0,0,0,0,0,
Daniel Thomas,RB,72,230,2,25,2850,545,5.2,114,30,52,428,0,4.62,35,1.5,62,581,165,3.5,44.7,0,12,72,1,71,
Stevan Ridley,RB,71,225,3,39,1419,306,4.6,36.4,19,17,94,0,4.65,36,3.5,73,21,4,5.3,21,0,1,4,0,51,
Alex Green,RB,72,225,2,27,1652,232,7.1,61.2,20,38,461,2,4.45,34,3.5,96,11,3,3.7,2.8,0,1,6,0,2,
Kendall Hunter,RB,69,199,4,46,4181,708,5.9,90.9,37,63,519,2,4.46,35,2.5,115,473,112,4.2,29.6,2,16,195,0,79,
Delone Carter,RB,69,222,4,42,3104,646,4.8,73.9,24,28,208,1,4.54,37,2,119,377,101,3.7,23.6,2,5,18,0,52,
